Simulation_ID,Event_Type,Event_Time,Event_Step
412,Survival,10.0,120
413,Lapse,0.3333333333333333,4
414,Lapse,4.25,51
415,Survival,10.0,120
416,Death,2.5,30
417,Survival,10.0,120
418,Survival,10.0,120
419,Death,7.916666666666666,95
420,Survival,10.0,120
421,Survival,10.0,120
422,Survival,10.0,120
423,Death,1.5833333333333333,19
424,Lapse,3.833333333333333,46
425,Survival,10.0,120
426,Survival,10.0,120
427,Survival,10.0,120
428,Disability,9.583333333333332,115
429,Lapse,1.0833333333333333,13
430,Death,2.583333333333333,31
431,Survival,10.0,120
432,Survival,10.0,120
433,Survival,10.0,120
434,Survival,10.0,120
435,Survival,10.0,120
436,Lapse,2.0,24
437,Survival,10.0,120
438,Death,2.333333333333333,28
439,Survival,10.0,120
440,Survival,10.0,120
441,Death,0.8333333333333333,10
442,Lapse,6.5,78
443,Survival,10.0,120
444,Lapse,4.75,57
445,Survival,10.0,120
446,Survival,10.0,120
447,Survival,10.0,120
448,Survival,10.0,120
449,Lapse,2.6666666666666665,32
450,Survival,10.0,120
451,Lapse,2.1666666666666665,26
452,Death,2.333333333333333,28
453,Lapse,0.25,3
454,Survival,10.0,120
455,Death,0.16666666666666666,2
456,Lapse,3.333333333333333,40
457,Survival,10.0,120
458,Lapse,1.75,21
459,Death,7.916666666666666,95
460,Disability,4.0,48
461,Lapse,5.916666666666666,71
462,Death,5.166666666666666,62
463,Survival,10.0,120
464,Lapse,1.0833333333333333,13
465,Survival,10.0,120
466,Lapse,6.083333333333333,73
467,Lapse,7.166666666666666,86
468,Survival,10.0,120
469,Disability,2.1666666666666665,26
470,Lapse,1.0833333333333333,13
471,Survival,10.0,120
472,Lapse,4.5,54
473,Lapse,2.0,24
474,Survival,10.0,120
475,Disability,3.75,45
476,Survival,10.0,120
477,Survival,10.0,120
478,Lapse,4.833333333333333,58
479,Lapse,3.4166666666666665,41
480,Survival,10.0,120
481,Survival,10.0,120
482,Survival,10.0,120
483,Lapse,5.916666666666666,71
484,Survival,10.0,120
485,Survival,10.0,120
486,Survival,10.0,120
487,Disability,3.4166666666666665,41
488,Survival,10.0,120
489,Survival,10.0,120
490,Survival,10.0,120
491,Lapse,2.083333333333333,25
492,Survival,10.0,120
493,Survival,10.0,120
494,Survival,10.0,120
495,Survival,10.0,120
496,Lapse,4.416666666666666,53
497,Survival,10.0,120
498,Lapse,2.6666666666666665,32
499,Death,3.75,45
500,Survival,10.0,120
501,Survival,10.0,120
502,Lapse,0.8333333333333333,10
503,Survival,10.0,120
504,Lapse,0.6666666666666666,8
505,Survival,10.0,120
506,Survival,10.0,120
507,Survival,10.0,120
508,Survival,10.0,120
509,Survival,10.0,120
510,Survival,10.0,120
511,Lapse,1.0,12
512,Death,0.75,9
513,Survival,10.0,120
514,Survival,10.0,120
515,Survival,10.0,120
516,Survival,10.0,120
517,Lapse,9.833333333333332,118
518,Death,2.4166666666666665,29
519,Survival,10.0,120
520,Lapse,6.083333333333333,73
521,Death,7.333333333333333,88
522,Lapse,1.75,21
523,Death,7.083333333333333,85
524,Survival,10.0,120
525,Survival,10.0,120
526,Survival,10.0,120
527,Lapse,6.083333333333333,73
528,Survival,10.0,120
529,Lapse,6.166666666666666,74
530,Survival,10.0,120
531,Survival,10.0,120
532,Lapse,1.6666666666666665,20
533,Lapse,4.083333333333333,49
534,Lapse,9.916666666666666,119
535,Survival,10.0,120
536,Lapse,2.333333333333333,28
537,Lapse,3.0,36
538,Survival,10.0,120
539,Survival,10.0,120
540,Disability,0.75,9
541,Lapse,4.75,57
542,Survival,10.0,120
543,Lapse,5.0,60
544,Lapse,5.833333333333333,70
545,Survival,10.0,120
546,Survival,10.0,120
547,Survival,10.0,120
548,Survival,10.0,120
549,Lapse,3.1666666666666665,38
550,Disability,4.5,54
551,Lapse,0.25,3
552,Lapse,0.41666666666666663,5
553,Lapse,1.4166666666666665,17
554,Survival,10.0,120
555,Survival,10.0,120
556,Disability,0.6666666666666666,8
557,Disability,4.583333333333333,55
558,Survival,10.0,120
559,Lapse,0.25,3
560,Survival,10.0,120
561,Death,8.333333333333332,100
562,Survival,10.0,120
563,Survival,10.0,120
564,Survival,10.0,120
565,Survival,10.0,120
566,Survival,10.0,120
567,Disability,1.0833333333333333,13
568,Survival,10.0,120
569,Survival,10.0,120
570,Disability,1.9166666666666665,23
571,Lapse,2.5,30
572,Lapse,0.25,3
573,Survival,10.0,120
574,Survival,10.0,120
575,Lapse,4.25,51
576,Lapse,3.9166666666666665,47
577,Survival,10.0,120
578,Survival,10.0,120
579,Lapse,8.666666666666666,104
580,Survival,10.0,120
581,Lapse,1.0833333333333333,13
582,Survival,10.0,120
583,Lapse,3.1666666666666665,38
584,Survival,10.0,120
585,Lapse,1.8333333333333333,22
586,Lapse,5.25,63
587,Lapse,5.416666666666666,65
588,Lapse,1.0,12
589,Survival,10.0,120
590,Lapse,4.5,54
591,Death,2.75,33
592,Survival,10.0,120
593,Lapse,8.833333333333332,106
594,Survival,10.0,120
595,Survival,10.0,120
596,Survival,10.0,120
597,Survival,10.0,120
598,Survival,10.0,120
599,Death,7.166666666666666,86
600,Death,2.583333333333333,31
601,Survival,10.0,120
602,Lapse,6.0,72
603,Survival,10.0,120
604,Survival,10.0,120
605,Survival,10.0,120
606,Death,0.25,3
607,Survival,10.0,120
608,Death,9.083333333333332,109
609,Death,0.3333333333333333,4
610,Survival,10.0,120
611,Disability,8.5,102
612,Lapse,1.1666666666666665,14
613,Survival,10.0,120
614,Survival,10.0,120
615,Survival,10.0,120
616,Lapse,1.0833333333333333,13
617,Death,2.583333333333333,31
618,Death,8.0,96
619,Survival,10.0,120
620,Survival,10.0,120
621,Survival,10.0,120
622,Lapse,0.3333333333333333,4
623,Survival,10.0,120
624,Survival,10.0,120
625,Survival,10.0,120
626,Lapse,2.4166666666666665,29
627,Death,4.166666666666666,50
628,Survival,10.0,120
629,Survival,10.0,120
630,Lapse,5.916666666666666,71
631,Survival,10.0,120
632,Lapse,8.083333333333332,97
633,Lapse,3.083333333333333,37
634,Lapse,8.583333333333332,103
635,Lapse,6.666666666666666,80
636,Lapse,9.666666666666666,116
637,Lapse,4.916666666666666,59
638,Survival,10.0,120
639,Lapse,1.0,12
640,Survival,10.0,120
641,Survival,10.0,120
642,Survival,10.0,120
643,Survival,10.0,120
644,Survival,10.0,120
645,Survival,10.0,120
646,Survival,10.0,120
647,Lapse,5.25,63
648,Survival,10.0,120
649,Survival,10.0,120
650,Lapse,2.0,24
651,Lapse,0.25,3
652,Survival,10.0,120
653,Survival,10.0,120
654,Survival,10.0,120
655,Lapse,8.666666666666666,104
656,Survival,10.0,120
657,Survival,10.0,120
658,Survival,10.0,120
659,Lapse,5.333333333333333,64
660,Lapse,1.25,15
661,Lapse,3.083333333333333,37
662,Lapse,4.75,57
663,Survival,10.0,120
664,Lapse,2.5,30
665,Survival,10.0,120
666,Death,5.916666666666666,71
667,Lapse,5.583333333333333,67
668,Survival,10.0,120
669,Survival,10.0,120
670,Survival,10.0,120
671,Survival,10.0,120
672,Death,2.6666666666666665,32
673,Survival,10.0,120
674,Death,7.583333333333333,91
675,Survival,10.0,120
676,Lapse,8.166666666666666,98
677,Survival,10.0,120
678,Lapse,7.916666666666666,95
679,Survival,10.0,120
680,Lapse,1.0,12
681,Lapse,1.5,18
682,Survival,10.0,120
683,Lapse,0.25,3
684,Lapse,8.833333333333332,106
685,Lapse,3.25,39
686,Survival,10.0,120
687,Survival,10.0,120
688,Survival,10.0,120
689,Survival,10.0,120
690,Lapse,8.75,105
691,Death,2.0,24
692,Survival,10.0,120
693,Survival,10.0,120
694,Survival,10.0,120
695,Survival,10.0,120
696,Disability,3.833333333333333,46
697,Survival,10.0,120
698,Survival,10.0,120
699,Death,0.25,3
700,Lapse,1.0833333333333333,13
701,Lapse,4.25,51
702,Lapse,9.75,117
703,Survival,10.0,120
704,Survival,10.0,120
705,Lapse,7.166666666666666,86
706,Survival,10.0,120
707,Survival,10.0,120
708,Survival,10.0,120
709,Lapse,9.25,111
710,Lapse,2.833333333333333,34
711,Survival,10.0,120
712,Survival,10.0,120
713,Survival,10.0,120
714,Survival,10.0,120
715,Survival,10.0,120
716,Survival,10.0,120
717,Death,9.916666666666666,119
718,Survival,10.0,120
719,Disability,8.083333333333332,97
720,Survival,10.0,120
721,Survival,10.0,120
722,Death,3.1666666666666665,38
723,Survival,10.0,120
724,Survival,10.0,120
725,Lapse,4.916666666666666,59
726,Survival,10.0,120
727,Lapse,1.9166666666666665,23
728,Survival,10.0,120
729,Survival,10.0,120
730,Lapse,2.1666666666666665,26
731,Survival,10.0,120
732,Survival,10.0,120
733,Survival,10.0,120
734,Survival,10.0,120
735,Survival,10.0,120
736,Survival,10.0,120
737,Survival,10.0,120
738,Disability,2.333333333333333,28
739,Lapse,1.5,18
740,Survival,10.0,120
741,Survival,10.0,120
742,Survival,10.0,120
743,Survival,10.0,120
744,Lapse,0.3333333333333333,4
745,Disability,1.9166666666666665,23
746,Survival,10.0,120
747,Survival,10.0,120
748,Survival,10.0,120
749,Lapse,1.0833333333333333,13
750,Lapse,2.1666666666666665,26
751,Survival,10.0,120
752,Lapse,3.6666666666666665,44
753,Survival,10.0,120
754,Survival,10.0,120
755,Lapse,4.25,51
756,Lapse,6.5,78
757,Lapse,5.083333333333333,61
758,Lapse,4.666666666666666,56
759,Survival,10.0,120
760,Lapse,0.41666666666666663,5
761,Survival,10.0,120
762,Lapse,6.916666666666666,83
763,Lapse,4.0,48
764,Survival,10.0,120
765,Lapse,5.5,66
766,Death,7.25,87
767,Survival,10.0,120
768,Survival,10.0,120
769,Lapse,1.6666666666666665,20
770,Survival,10.0,120
771,Lapse,3.333333333333333,40
772,Lapse,5.083333333333333,61
773,Survival,10.0,120
774,Survival,10.0,120
775,Survival,10.0,120
776,Death,7.0,84
777,Survival,10.0,120
778,Survival,10.0,120
779,Survival,10.0,120
780,Survival,10.0,120
781,Survival,10.0,120
782,Lapse,9.833333333333332,118
783,Survival,10.0,120
784,Survival,10.0,120
785,Survival,10.0,120
786,Survival,10.0,120
787,Lapse,4.25,51
788,Lapse,3.4166666666666665,41
789,Survival,10.0,120
790,Lapse,4.0,48
791,Disability,6.083333333333333,73
792,Survival,10.0,120
793,Lapse,8.75,105
794,Survival,10.0,120
795,Lapse,5.916666666666666,71
796,Survival,10.0,120
797,Survival,10.0,120
798,Death,8.333333333333332,100
799,Survival,10.0,120
800,Survival,10.0,120
801,Lapse,5.583333333333333,67
802,Survival,10.0,120
803,Survival,10.0,120
804,Survival,10.0,120
805,Lapse,5.25,63
806,Survival,10.0,120
807,Lapse,2.583333333333333,31
808,Survival,10.0,120
809,Survival,10.0,120
810,Survival,10.0,120
811,Lapse,3.0,36
812,Survival,10.0,120
813,Survival,10.0,120
814,Survival,10.0,120
815,Survival,10.0,120
816,Lapse,0.08333333333333333,1
817,Survival,10.0,120
818,Lapse,7.25,87
819,Disability,3.333333333333333,40
820,Lapse,1.75,21
821,Death,3.0,36
822,Lapse,0.16666666666666666,2
823,Death,6.583333333333333,79
824,Survival,10.0,120
825,Survival,10.0,120
826,Survival,10.0,120
827,Survival,10.0,120
828,Lapse,4.75,57
829,Survival,10.0,120
830,Survival,10.0,120
831,Lapse,2.6666666666666665,32
832,Disability,4.833333333333333,58
833,Lapse,7.5,90
834,Disability,3.833333333333333,46
835,Lapse,2.5,30
836,Survival,10.0,120
837,Disability,1.0833333333333333,13
838,Survival,10.0,120
839,Survival,10.0,120
840,Survival,10.0,120
841,Death,1.5,18
842,Death,9.75,117
