simulation_id,event_type,event_time,event_step,fund_value_at_event,payoff,discount_factor,discounted_payoff
182,Survival,10.0,120,340330.5981752246,340330.5981752246,0.44932896411722156,152920.39513546805
183,Survival,10.0,120,304040.5266282412,304040.5266282412,0.44932896411722156,136614.21487952213
184,Survival,10.0,120,136810.55204553748,136810.55204553748,0.44932896411722156,61472.94363092658
185,Death,5.333333333333333,64,198872.0550201742,198872.0550201742,0.6526810763306461,129800.02692265475
186,Survival,10.0,120,94006.2381455477,120000.0,0.44932896411722156,53919.47569406659
187,Survival,10.0,120,97467.20019809571,120000.0,0.44932896411722156,53919.47569406659
188,Survival,10.0,120,116894.24475797323,120000.0,0.44932896411722156,53919.47569406659
189,Lapse,1.3333333333333333,16,162739.1144377126,146465.20299394135,0.8988252314716089,131646.6199835655
190,Survival,10.0,120,74060.37724706002,120000.0,0.44932896411722156,53919.47569406659
191,Survival,10.0,120,624803.633056129,624803.633056129,0.44932896411722156,280742.36921778705
192,Death,0.41666666666666663,5,121142.23373984743,130000.0,0.9672161004820059,125738.09306266077
193,Survival,10.0,120,96058.02731663748,120000.0,0.44932896411722156,53919.47569406659
194,Survival,10.0,120,85343.14172467633,120000.0,0.44932896411722156,53919.47569406659
195,Survival,10.0,120,88885.70561132804,120000.0,0.44932896411722156,53919.47569406659
196,Survival,10.0,120,216974.22718125966,216974.22718125966,0.44932896411722156,97492.80473949011
197,Survival,10.0,120,74952.75818929606,120000.0,0.44932896411722156,53919.47569406659
198,Lapse,5.5,66,215353.86981894315,193818.48283704882,0.6440364210831414,124826.16202613719
199,Survival,10.0,120,213784.3741195886,213784.3741195886,0.44932896411722156,96059.5113676033
200,Disability,1.5833333333333333,19,112074.92744624132,112074.92744624132,0.8810272994231082,98741.07066100277
201,Survival,10.0,120,178760.9273350243,178760.9273350243,0.44932896411722156,80322.46230408039
202,Lapse,1.0,12,111330.54203655843,100197.48783290258,0.9231163463866358,92493.93888542842
203,Survival,10.0,120,140786.16192713752,140786.16192713752,0.44932896411722156,63259.30030076012
204,Lapse,6.0,72,65412.62437803292,58871.361940229624,0.6187833918061408,36428.62102162224
205,Death,7.416666666666666,89,113248.1628325251,130000.0,0.5524826032958279,71822.73842845763
206,Lapse,9.25,111,91571.68099328474,82414.51289395627,0.4771139155210344,39321.11094259425
207,Lapse,1.5833333333333333,19,112155.84568612494,100940.26111751245,0.8810272994231082,88931.12565542536
208,Disability,5.583333333333333,67,143210.5910167013,143210.5910167013,0.6397571251117244,91619.99599439578
209,Lapse,3.1666666666666665,38,114841.24032771916,103357.11629494725,0.7762091023287752,80226.73445859182
210,Survival,10.0,120,227888.5461084816,227888.5461084816,0.44932896411722156,102396.92435710372
211,Survival,10.0,120,137480.8349424171,137480.8349424171,0.44932896411722156,61774.12115064699
212,Survival,10.0,120,114702.02502909028,120000.0,0.44932896411722156,53919.47569406659
213,Survival,10.0,120,82144.51538447638,120000.0,0.44932896411722156,53919.47569406659
214,Lapse,4.083333333333333,49,119020.70155289948,107118.63139760954,0.721324144338942,77267.25513563922
215,Lapse,2.583333333333333,31,163060.53022443005,146754.47720198706,0.8132907017103442,119354.05174273877
216,Lapse,8.333333333333332,100,304962.49367573875,274466.24430816487,0.513417119032592,140915.66842439357
217,Survival,10.0,120,272803.6580761569,272803.6580761569,0.44932896411722156,122578.5850907483
218,Survival,10.0,120,106611.06475449543,120000.0,0.44932896411722156,53919.47569406659
219,Survival,10.0,120,88951.46967179979,120000.0,0.44932896411722156,53919.47569406659
220,Survival,10.0,120,151688.3381685642,151688.3381685642,0.44932896411722156,68157.96385794375
